| title                       | rental_count | rental_rate | length |
| ANGELS LIFE                 |           22 |        2.99 |     74 |
| ANNIE IDENTITY              |           22 |        0.99 |     86 |
| BANGER PINOCCHIO            |           22 |        0.99 |    113 |
| BEAR GRACELAND              |           22 |        2.99 |    160 |
| BEAUTY GREASE               |           22 |        4.99 |    175 |
| BLADE POLISH                |           22 |        0.99 |    114 |
| BORROWERS BEDAZZLED         |           22 |        0.99 |     63 |
| CHICKEN HELLFIGHTERS        |           22 |        0.99 |    122 |
| CHILL LUCK                  |           22 |        0.99 |    142 |
| CONGENIALITY QUEST          |           22 |        0.99 |     87 |
| DREAM PICKUP                |           22 |        2.99 |    135 |
| EAGLES PANKY                |           22 |        4.99 |    140 |
| FALCON VOLUME               |           22 |        4.99 |    102 |
| FIGHT JAWBREAKER            |           22 |        0.99 |     91 |
| FLATLINERS KILLER           |           22 |        2.99 |    100 |
| GRAPES FURY                 |           22 |        0.99 |    155 |
| HAUNTING PIANIST            |           22 |        0.99 |    181 |
| HEAD STRANGER               |           22 |        4.99 |     69 |
| HIGH ENCINO                 |           22 |        2.99 |     84 |
| HOMICIDE PEACH              |           22 |        2.99 |    141 |
| HUSTLER PARTY               |           22 |        4.99 |     83 |
| KISS GLORY                  |           22 |        4.99 |    163 |
| LIAISONS SWEET              |           22 |        4.99 |    140 |
| MALTESE HOPE                |           22 |        4.99 |    127 |
| MIDSUMMER GROUNDHOG         |           22 |        4.99 |     48 |
| PACKER MADIGAN              |           22 |        0.99 |     84 |
| QUEEN LUKE                  |           22 |        4.99 |    163 |
| SEA VIRGIN                  |           22 |        2.99 |     80 |
| SHAKESPEARE SADDLE          |           22 |        2.99 |     60 |
| SINNERS ATLANTIS            |           22 |        2.99 |    126 |
| SNATCH SLIPPER              |           22 |        4.99 |    110 |
| SOUTH WAIT                  |           22 |        2.99 |    143 |
| TOURIST PELICAN             |           22 |        4.99 |    152 |
| VOLCANO TEXAS               |           22 |        0.99 |    157 |
| WHISPERER GIANT             |           22 |        4.99 |     59 |
| WONDERLAND CHRISTMAS        |           22 |        4.99 |    111 |
| AGENT TRUMAN                |           21 |        2.99 |    169 |
| AMADEUS HOLY                |           21 |        0.99 |    113 |
| AMISTAD MIDSUMMER           |           21 |        2.99 |     85 |
| ANACONDA CONFESSIONS        |           21 |        0.99 |     92 |
| ARIZONA BANG                |           21 |        2.99 |    121 |
| ARMAGEDDON LOST             |           21 |        0.99 |     99 |
| BADMAN DAWN                 |           21 |        2.99 |    162 |
| BASIC EASY                  |           21 |        2.99 |     90 |
| BERETS AGENT                |           21 |        2.99 |     77 |
| BEVERLY OUTLAW              |           21 |        2.99 |     85 |
| BLUES INSTINCT              |           21 |        2.99 |     50 |
| BROOKLYN DESERT             |           21 |        4.99 |    161 |
| CALENDAR GUNFIGHT           |           21 |        4.99 |    120 |
| CAUSE DATE                  |           21 |        2.99 |    179 |
| CHAINSAW UPTOWN             |           21 |        0.99 |    114 |
| CHARIOTS CONSPIRACY         |           21 |        2.99 |     71 |
| CHRISTMAS MOONSHINE         |           21 |        0.99 |    150 |
| COAST RAINBOW               |           21 |        0.99 |     55 |
| CROSSROADS CASUALTIES       |           21 |        2.99 |    153 |
| DECEIVER BETRAYED           |           21 |        0.99 |    122 |
| DIVIDE MONSTER              |           21 |        2.99 |     68 |
| DOOM DANCING                |           21 |        0.99 |     68 |
| DRACULA CRYSTAL             |           21 |        0.99 |    176 |
| DRIVING POLISH              |           21 |        4.99 |    175 |
| EGG IGBY                    |           21 |        2.99 |     67 |
| EMPIRE MALKOVICH            |           21 |        0.99 |    177 |
| EXCITEMENT EVE              |           21 |        0.99 |     51 |
| FIDELITY DEVIL              |           21 |        4.99 |    118 |
| FIREBALL PHILADELPHIA       |           21 |        0.99 |    148 |
| GHOST GROUNDHOG             |           21 |        4.99 |     85 |
| GREASE YOUTH                |           21 |        0.99 |    135 |
| HIGHBALL POTTER             |           21 |        0.99 |    110 |
| LEBOWSKI SOLDIERS           |           21 |        2.99 |     69 |
| MOONSHINE CABIN             |           21 |        4.99 |    171 |
| MOURNING PURPLE             |           21 |        0.99 |    146 |
| OPEN AFRICAN                |           21 |        4.99 |    131 |
| PIANIST OUTFIELD            |           21 |        0.99 |    136 |
| PIRATES ROXANNE             |           21 |        0.99 |    100 |
| RESURRECTION SILVERADO      |           21 |        0.99 |    117 |
| SABRINA MIDNIGHT            |           21 |        4.99 |     99 |
| SECRET GROUNDHOG            |           21 |        4.99 |     90 |
| SLEEPY JAPANESE             |           21 |        2.99 |    137 |
| SLEUTH ORIENT               |           21 |        0.99 |     87 |
| SPLENDOR PATTON             |           21 |        0.99 |    134 |
| STAR OPERATION              |           21 |        2.99 |    181 |
| STING PERSONAL              |           21 |        4.99 |     93 |
| SUIT WALLS                  |           21 |        4.99 |    111 |
| UNBREAKABLE KARATE          |           21 |        0.99 |     62 |
| UNDEFEATED DALMATIONS       |           21 |        4.99 |    107 |
| VACATION BOONDOCK           |           21 |        2.99 |    145 |
| WAIT CIDER                  |           21 |        0.99 |    112 |
| WOLVES DESIRE               |           21 |        0.99 |     55 |
| BRINGING HYSTERICAL         |           20 |        2.99 |    136 |
| CHASING FIGHT               |           20 |        4.99 |    114 |
| CHEAPER CLYDE               |           20 |        0.99 |     87 |
| CHOCOLAT HARRY              |           20 |        0.99 |    101 |
| DALMATIONS SWEDEN           |           20 |        0.99 |    106 |
| DINOSAUR SECRETARY          |           20 |        2.99 |     63 |
| FLYING HOOK                 |           20 |        2.99 |     69 |
| GARDEN ISLAND               |           20 |        4.99 |     80 |
| GO PURPLE                   |           20 |        0.99 |     54 |
| HARPER DYING                |           20 |        0.99 |     52 |
| HEARTBREAKERS BRIGHT        |           20 |        4.99 |     59 |
| HELLFIGHTERS SIERRA         |           20 |        2.99 |     75 |
| HUNCHBACK IMPOSSIBLE        |           20 |        4.99 |    151 |
| INSIDER ARIZONA             |           20 |        2.99 |     78 |
| INTERVIEW LIAISONS          |           20 |        4.99 |     59 |
| INTRIGUE WORST              |           20 |        0.99 |    181 |
| JERK PAYCHECK               |           20 |        2.99 |    172 |
| JET NEIGHBORS               |           20 |        4.99 |     59 |
| KICK SAVANNAH               |           20 |        0.99 |    179 |
| KISSING DOLLS               |           20 |        4.99 |    141 |
| LOVE SUICIDES               |           20 |        0.99 |    181 |
| MASKED BUBBLE               |           20 |        0.99 |    151 |
| MILLION ACE                 |           20 |        4.99 |    142 |
| MINDS TRUMAN                |           20 |        4.99 |    149 |
| MONEY HAROLD                |           20 |        2.99 |    135 |
| NORTHWEST POLISH            |           20 |        2.99 |    172 |
| OUTFIELD MASSACRE           |           20 |        0.99 |    129 |
| PEAK FOREVER                |           20 |        4.99 |     80 |
| PINOCCHIO SIMON             |           20 |        4.99 |    103 |
| PREJUDICE OLEANDER          |           20 |        4.99 |     98 |
| QUEST MUSSOLINI             |           20 |        2.99 |    177 |
| REDEMPTION COMFORTS         |           20 |        2.99 |    179 |
| REIGN GENTLEMEN             |           20 |        2.99 |     82 |
| REUNION WITCHES             |           20 |        0.99 |     63 |
| RIVER OUTLAW                |           20 |        0.99 |    149 |
| ROOM ROMAN                  |           20 |        0.99 |     60 |
| SECRETS PARADISE            |           20 |        4.99 |    109 |
| SLEEPLESS MONSOON           |           20 |        4.99 |     64 |
| SPICE SORORITY              |           20 |        4.99 |    141 |
| STEPMOM DREAM               |           20 |        4.99 |     48 |
| STRAIGHT HOURS              |           20 |        0.99 |    151 |
| TRAMP OTHERS                |           20 |        0.99 |    171 |
| WRONG BEHAVIOR              |           20 |        2.99 |    178 |
| BACKLASH UNDEFEATED         |           19 |        4.99 |    118 |
| BILL OTHERS                 |           19 |        2.99 |     93 |
| BRIDE INTRIGUE              |           19 |        0.99 |     56 |
| CAMPUS REMEMBER             |           19 |        2.99 |    167 |
| CANYON STOCK                |           19 |        0.99 |     85 |
| CIDER DESIRE                |           19 |        2.99 |    101 |
| CLONES PINOCCHIO            |           19 |        2.99 |    124 |
| CLUB GRAFFITI               |           19 |        0.99 |     65 |
| DESERT POSEIDON             |           19 |        4.99 |     64 |
| DETAILS PACKER              |           19 |        4.99 |     88 |
| DISCIPLE MOTHER             |           19 |        0.99 |    141 |
| DOORS PRESIDENT             |           19 |        4.99 |     49 |
| EARRING INSTINCT            |           19 |        0.99 |     98 |
| ENCINO ELF                  |           19 |        0.99 |    143 |
| ENCOUNTERS CURTAIN          |           19 |        0.99 |     92 |
| EYES DRIVING                |           19 |        2.99 |    172 |
| FANTASIA PARK               |           19 |        2.99 |    131 |
| FICTION CHRISTMAS           |           19 |        0.99 |     72 |
| FURY MURDER                 |           19 |        0.99 |    178 |
| GABLES METROPOLIS           |           19 |        0.99 |    161 |
| GORGEOUS BINGO              |           19 |        2.99 |    108 |
| HANGING DEEP                |           19 |        4.99 |     62 |
| HONEY TIES                  |           19 |        0.99 |     84 |
| HOURS RAGE                  |           19 |        0.99 |    122 |
| IGBY MAKER                  |           19 |        4.99 |    160 |
| INDEPENDENCE HOTEL          |           19 |        0.99 |    157 |
| JEDI BENEATH                |           19 |        0.99 |    128 |
| MARS ROMAN                  |           19 |        0.99 |     62 |
| MINE TITANS                 |           19 |        4.99 |    166 |
| MUSIC BOONDOCK              |           19 |        0.99 |    129 |
| NATIONAL STORY              |           19 |        2.99 |     92 |
| NEIGHBORS CHARADE           |           19 |        0.99 |    161 |
| NOVOCAINE FLIGHT            |           19 |        0.99 |     64 |
| PATIENT SISTER              |           19 |        0.99 |     99 |
| POND SEATTLE                |           19 |        2.99 |    185 |
| RAGE GAMES                  |           19 |        4.99 |    120 |
| REQUIEM TYCOON              |           19 |        4.99 |    167 |
| ROAD ROXANNE                |           19 |        4.99 |    158 |
| ROXANNE REBEL               |           19 |        0.99 |    171 |
| SHAWSHANK BUBBLE            |           19 |        4.99 |     80 |
| SOMETHING DUCK              |           19 |        4.99 |    180 |
| SUNDANCE INVASION           |           19 |        0.99 |     92 |
| THIEF PELICAN               |           19 |        4.99 |    135 |
| TROJAN TOMORROW             |           19 |        2.99 |     52 |
| VOICE PEACH                 |           19 |        0.99 |    139 |
| AIRPORT POLLOCK             |           18 |        4.99 |     54 |
| ALONE TRIP                  |           18 |        0.99 |     82 |
| BAREFOOT MANCHURIAN         |           18 |        2.99 |    129 |
| BIRDS PERDITION             |           18 |        4.99 |     61 |
| BOULEVARD MOB               |           18 |        0.99 |     63 |
| CANDIDATE PERDITION         |           18 |        2.99 |     70 |
| CAROL TEXAS                 |           18 |        2.99 |    151 |
| CLEOPATRA DEVIL             |           18 |        0.99 |    150 |
| CORE SUIT                   |           18 |        2.99 |     92 |
| DARN FORRESTER              |           18 |        4.99 |    185 |
| DAWN POND                   |           18 |        4.99 |     57 |
| DRAGONFLY STRANGERS         |           18 |        4.99 |    133 |
| DRIVER ANNIE                |           18 |        2.99 |    159 |
| ENOUGH RAGING               |           18 |        2.99 |    158 |
| EXPECATIONS NATURAL         |           18 |        4.99 |    138 |
| FORREST SONS                |           18 |        2.99 |     63 |
| GALAXY SWEETHEARTS          |           18 |        4.99 |    128 |
| GROOVE FICTION              |           18 |        0.99 |    111 |
| GROUNDHOG UNCUT             |           18 |        4.99 |    139 |
| HEAVEN FREEDOM              |           18 |        2.99 |     48 |
| HOPE TOOTSIE                |           18 |        2.99 |    139 |
| INCH JET                    |           18 |        4.99 |    167 |
| INSECTS STONE               |           18 |        0.99 |    123 |
| INSTINCT AIRPORT            |           18 |        2.99 |    116 |
| JACKET FRISCO               |           18 |        2.99 |    181 |
| JADE BUNCH                  |           18 |        2.99 |    174 |
| LION UNCUT                  |           18 |        0.99 |     50 |
| MISSION ZOOLANDER           |           18 |        4.99 |    164 |
| PARADISE SABRINA            |           18 |        2.99 |     48 |
| POLISH BROOKLYN             |           18 |        0.99 |     61 |
| POLLOCK DELIVERANCE         |           18 |        2.99 |    137 |
| RACER EGG                   |           18 |        2.99 |    147 |
| REMEMBER DIARY              |           18 |        2.99 |    110 |
| ROUGE SQUAD                 |           18 |        0.99 |    118 |
| SCARFACE BANG               |           18 |        4.99 |    102 |
| SECRETARY ROUGE             |           18 |        4.99 |    158 |
| SMOKING BARBARELLA          |           18 |        0.99 |     50 |
| SWEDEN SHINING              |           18 |        4.99 |    176 |
| UNFORGIVEN ZOOLANDER        |           18 |        0.99 |    129 |
| VANISHING ROCKY             |           18 |        2.99 |    123 |
| WEEKEND PERSONAL            |           18 |        2.99 |    134 |
| WHALE BIKINI                |           18 |        4.99 |    109 |
| WONKA SEA                   |           18 |        2.99 |     85 |
| BEACH HEARTBREAKERS         |           17 |        2.99 |    122 |
| BIKINI BORROWERS            |           17 |        4.99 |    142 |
| BREAKFAST GOLDFINGER        |           17 |        4.99 |    123 |
| COMFORTS RUSH               |           17 |        2.99 |     76 |
| CONFUSED CANDLES            |           17 |        2.99 |    122 |
| CONVERSATION DOWNHILL       |           17 |        4.99 |    112 |
| DYING MAKER                 |           17 |        4.99 |    168 |
| EGYPT TENENBAUMS            |           17 |        0.99 |     85 |
| FACTORY DRAGON              |           17 |        0.99 |    144 |
| FERRIS MOTHER               |           17 |        2.99 |    142 |
| FLINTSTONES HAPPINESS       |           17 |        4.99 |    148 |
| FREAKY POCUS                |           17 |        2.99 |    126 |
| FRENCH HOLIDAY              |           17 |        4.99 |     99 |
| GANDHI KWAI                 |           17 |        0.99 |     86 |
| GREEK EVERYONE              |           17 |        2.99 |    176 |
| HANOVER GALAXY              |           17 |        4.99 |     47 |
| HOLOCAUST HIGHBALL          |           17 |        0.99 |    149 |
| IDAHO LOVE                  |           17 |        2.99 |    172 |
| INTENTIONS EMPIRE           |           17 |        2.99 |    107 |
| JEKYLL FROGMEN              |           17 |        2.99 |     58 |
| JERICHO MULAN               |           17 |        2.99 |    171 |
| JOON NORTHWEST              |           17 |        0.99 |    105 |
| LADY STAGE                  |           17 |        4.99 |     67 |
| LAWLESS VISION              |           17 |        4.99 |    181 |
| LEAGUE HELLFIGHTERS         |           17 |        4.99 |    110 |
| LOUISIANA HARRY             |           17 |        0.99 |     70 |
| MAJESTIC FLOATS             |           17 |        0.99 |    130 |
| MASK PEACH                  |           17 |        2.99 |    123 |
| MIDNIGHT WESTWARD           |           17 |        0.99 |     86 |
| MUSKETEERS WAIT             |           17 |        4.99 |     73 |
| NEWTON LABYRINTH            |           17 |        0.99 |     75 |
| NOON PAPI                   |           17 |        2.99 |     57 |
| ORIENT CLOSER               |           17 |        2.99 |    118 |
| PERFECT GROOVE              |           17 |        2.99 |     82 |
| POSEIDON FOREVER            |           17 |        4.99 |    159 |
| POTTER CONNECTICUT          |           17 |        2.99 |    115 |
| REAR TRADING                |           17 |        0.99 |     97 |
| ROCK INSTINCT               |           17 |        0.99 |    102 |
| ROOTS REMEMBER              |           17 |        0.99 |     89 |
| SATISFACTION CONFIDENTIAL   |           17 |        4.99 |     75 |
| SLACKER LIAISONS            |           17 |        4.99 |    179 |
| STRANGERS GRAFFITI          |           17 |        4.99 |    119 |
| SUGAR WONKA                 |           17 |        4.99 |    114 |
| TAXI KICK                   |           17 |        0.99 |     64 |
| TEEN APOLLO                 |           17 |        4.99 |     74 |
| UNITED PILOT                |           17 |        0.99 |    164 |
| VIRGIN DAISY                |           17 |        4.99 |    179 |
| WATERFRONT DELIVERANCE      |           17 |        4.99 |     61 |
| ZOOLANDER FICTION           |           17 |        2.99 |    101 |
| ARMY FLINTSTONES            |           16 |        0.99 |    148 |
| ARTIST COLDBLOODED          |           16 |        2.99 |    170 |
| ATTACKS HATE                |           16 |        4.99 |    113 |
| BAKED CLEOPATRA             |           16 |        2.99 |    182 |
| BONNIE HOLOCAUST            |           16 |        0.99 |     63 |
| BULL SHAWSHANK              |           16 |        0.99 |    125 |
